range_bin,doppler_bin,out_i,out_q
0,0,-2,-2
0,1,-1,0
0,2,0,-1
0,3,-2,-1
0,4,-1,1
0,5,-1,-1
0,6,1,-1
0,7,-1,-1
0,8,0,0
0,9,1,0
0,10,0,1
0,11,2,-1
0,12,-1,1
0,13,1,1
0,14,3,1
0,15,1,3
0,16,-2,-2
0,17,0,1
0,18,0,-1
0,19,-1,0
0,20,0,0
0,21,-1,-1
0,22,0,-1
0,23,-2,-1
0,24,2,0
0,25,0,1
0,26,0,-1
0,27,1,2
0,28,0,-2
0,29,1,3
0,30,0,-1
0,31,2,3
1,0,-1,0
1,1,-1,-1
1,2,0,0
1,3,-2,0
1,4,0,-1
1,5,0,-1
1,6,0,0
1,7,-1,-2
1,8,1,0
1,9,1,1
1,10,0,0
1,11,2,0
1,12,0,1
1,13,0,1
1,14,0,0
1,15,1,2
1,16,-1,0
1,17,-2,-3
1,18,0,0
1,19,-1,-3
1,20,1,0
1,21,0,0
1,22,0,0
1,23,0,1
1,24,-1,0
1,25,2,-1
1,26,0,0
1,27,1,-1
1,28,1,0
1,29,0,4
1,30,0,0
1,31,0,3
2,0,-1,-2
2,1,0,0
2,2,-1,-1
2,3,-2,-1
2,4,1,-1
2,5,-1,0
2,6,0,-1
2,7,0,-2
2,8,1,2
2,9,0,0
2,10,1,1
2,11,2,1
2,12,-1,1
2,13,1,0
2,14,0,1
2,15,0,2
2,16,-1,-3
2,17,1,-1
2,18,-2,0
2,19,-1,-1
2,20,0,1
2,21,0,-1
2,22,0,0
2,23,1,0
2,24,-1,1
2,25,1,-1
2,26,-2,0
2,27,3,1
2,28,-2,1
2,29,2,-1
2,30,0,0
2,31,1,4
3,0,-2,0
3,1,0,0
3,2,0,-2
3,3,0,0
3,4,1,0
3,5,0,0
3,6,-1,0
3,7,0,0
3,8,0,0
3,9,0,0
3,10,0,0
3,11,0,0
3,12,1,0
3,13,0,0
3,14,1,2
3,15,0,0
3,16,-2,-1
3,17,0,0
3,18,-2,-1
3,19,-1,0
3,20,-1,-1
3,21,0,-1
3,22,-1,-1
3,23,0,-2
3,24,0,1
3,25,2,0
3,26,0,1
3,27,3,0
3,28,-1,1
3,29,2,1
3,30,-1,1
3,31,2,2
4,0,0,-1
4,1,-2,-1
4,2,0,1
4,3,1,0
4,4,0,-1
4,5,-2,0
4,6,0,1
4,7,1,-1
4,8,0,-1
4,9,0,1
4,10,0,1
4,11,1,0
4,12,0,-1
4,13,0,0
4,14,0,1
4,15,1,1
4,16,0,-2
4,17,-2,0
4,18,0,0
4,19,-1,-2
4,20,-1,1
4,21,1,0
4,22,0,-1
4,23,0,0
4,24,0,0
4,25,0,0
4,26,0,0
4,27,-1,0
4,28,1,1
4,29,1,0
4,30,0,1
4,31,2,2
5,0,-1,0
5,1,-3,-3
5,2,0,-1
5,3,-1,-1
5,4,0,0
5,5,1,-2
5,6,-1,-1
5,7,0,1
5,8,1,0
5,9,1,-1
5,10,0,1
5,11,1,1
5,12,0,0
5,13,1,2
5,14,1,1
5,15,0,3
5,16,-1,-2
5,17,0,-1
5,18,-2,0
5,19,-2,-2
5,20,0,0
5,21,0,0
5,22,0,-1
5,23,0,-1
5,24,1,0
5,25,0,1
5,26,0,0
5,27,2,0
5,28,0,2
5,29,0,0
5,30,2,1
5,31,0,3
6,0,-1,-1
6,1,1,0
6,2,-2,-1
6,3,1,0
6,4,-2,0
6,5,1,-1
6,6,-2,0
6,7,1,-1
6,8,-1,1
6,9,1,0
6,10,0,1
6,11,1,0
6,12,0,0
6,13,1,1
6,14,0,0
6,15,1,1
6,16,0,-3
6,17,-2,-1
6,18,-1,-2
6,19,-2,2
6,20,1,-1
6,21,-3,0
6,22,1,-3
6,23,-1,2
6,24,0,-3
6,25,2,3
6,26,-1,-2
6,27,2,2
6,28,-1,-1
6,29,3,2
6,30,1,-1
6,31,1,6
7,0,0,-1
7,1,0,1
7,2,0,-1
7,3,0,1
7,4,0,-1
7,5,0,1
7,6,0,-1
7,7,0,1
7,8,0,-1
7,9,0,1
7,10,0,-1
7,11,0,1
7,12,0,-1
7,13,0,1
7,14,0,-1
7,15,0,1
7,16,-2,-2
7,17,-1,0
7,18,0,-1
7,19,0,0
7,20,-2,0
7,21,1,1
7,22,0,-1
7,23,2,1
7,24,-2,-2
7,25,1,2
7,26,0,-1
7,27,0,0
7,28,-2,0
7,29,3,1
7,30,0,-1
7,31,2,3
8,0,0,0
8,1,0,-2
8,2,-2,0
8,3,-2,1
8,4,1,0
8,5,-1,-2
8,6,-2,0
8,7,1,0
8,8,0,0
8,9,0,0
8,10,2,0
8,11,2,1
8,12,-1,0
8,13,1,0
8,14,2,0
8,15,-1,2
8,16,-3,0
8,17,0,-2
8,18,0,-1
8,19,-1,0
8,20,2,0
8,21,0,0
8,22,-1,-1
8,23,1,2
8,24,-1,0
8,25,0,-2
8,26,0,1
8,27,-1,0
8,28,2,0
8,29,0,0
8,30,1,1
8,31,1,2
9,0,0,-5
9,1,-1,3
9,2,0,-1
9,3,-1,-1
9,4,0,-1
9,5,0,1
9,6,0,-1
9,7,0,-3
9,8,0,3
9,9,1,-1
9,10,0,-1
9,11,1,3
9,12,0,-1
9,13,0,1
9,14,0,-1
9,15,0,5
9,16,-1,-2
9,17,0,1
9,18,-1,-1
9,19,0,0
9,20,-1,0
9,21,2,1
9,22,-1,-1
9,23,2,2
9,24,-1,-2
9,25,0,1
9,26,-1,-1
9,27,0,0
9,28,-1,0
9,29,2,1
9,30,-1,-1
9,31,2,2
10,0,-3,-3
10,1,-6,1
10,2,5,-5
10,3,-6,3
10,4,0,0
10,5,1,-3
10,6,-1,0
10,7,0,0
10,8,-1,-1
10,9,0,-1
10,10,1,1
10,11,0,-1
10,12,0,0
10,13,5,3
10,14,-1,0
10,15,6,6
10,16,-3,-3
10,17,-2,6
10,18,3,-8
10,19,-5,1
10,20,0,-1
10,21,1,0
10,22,-1,-1
10,23,2,1
10,24,-1,-3
10,25,0,2
10,26,-1,-2
10,27,3,3
10,28,0,-1
10,29,1,0
10,30,3,3
10,31,0,3
11,0,-2,-6
11,1,-16,8
11,2,20,-9
11,3,-10,-1
11,4,0,0
11,5,-1,-2
11,6,1,-1
11,7,-1,-1
11,8,2,2
11,9,0,-2
11,10,4,3
11,11,-2,-1
11,12,0,0
11,13,5,0
11,14,-1,3
11,15,1,7
11,16,-2,-7
11,17,-7,11
11,18,12,-19
11,19,-10,6
11,20,0,2
11,21,-1,0
11,22,-1,0
11,23,4,0
11,24,-2,-1
11,25,3,1
11,26,-2,-1
11,27,0,-2
11,28,0,2
11,29,1,0
11,30,3,0
11,31,2,8
12,0,-1,-6
12,1,-70,46
12,2,127,-52
12,3,-56,5
12,4,1,1
12,5,3,-2
12,6,1,0
12,7,0,1
12,8,1,-4
12,9,2,2
12,10,3,6
12,11,-2,-3
12,12,3,1
12,13,1,-2
12,14,1,6
12,15,2,1
12,16,-1,-10
12,17,-30,62
12,18,83,-111
12,19,-47,40
12,20,2,-4
12,21,2,-1
12,22,0,2
12,23,1,-5
12,24,1,2
12,25,-2,2
12,26,1,-3
12,27,1,0
12,28,2,-4
12,29,2,5
12,30,0,0
12,31,1,9
13,0,-3,-3
13,1,-13,5
13,2,18,-7
13,3,-9,-2
13,4,-2,0
13,5,3,-1
13,6,-4,0
13,7,3,0
13,8,1,-1
13,9,-1,1
13,10,4,1
13,11,-1,0
13,12,0,0
13,13,3,-1
13,14,2,2
13,15,-1,6
13,16,-1,-3
13,17,-8,9
13,18,14,-18
13,19,-10,7
13,20,0,-2
13,21,-2,2
13,22,-2,-3
13,23,4,1
13,24,-1,1
13,25,4,1
13,26,-2,0
13,27,2,-3
13,28,-2,0
13,29,2,0
13,30,2,1
13,31,0,7
14,0,-1,-5
14,1,-9,5
14,2,8,-7
14,3,-7,3
14,4,2,1
14,5,0,-3
14,6,2,0
14,7,-3,-1
14,8,1,-1
14,9,1,1
14,10,0,-1
14,11,-1,-1
14,12,2,1
14,13,0,1
14,14,2,4
14,15,3,3
14,16,-3,-2
14,17,-4,3
14,18,5,-5
14,19,-6,-1
14,20,-1,1
14,21,3,-2
14,22,-2,-1
14,23,2,-1
14,24,1,-2
14,25,-2,1
14,26,1,1
14,27,2,3
14,28,-1,-1
14,29,3,2
14,30,0,1
14,31,2,3
15,0,-1,-1
15,1,-1,-1
15,2,-1,0
15,3,1,-2
15,4,-2,0
15,5,2,1
15,6,-1,-1
15,7,0,0
15,8,-1,1
15,9,1,-1
15,10,-1,0
15,11,1,0
15,12,0,0
15,13,2,1
15,14,-1,1
15,15,2,2
15,16,-1,-1
15,17,-1,-1
15,18,-1,0
15,19,-1,-2
15,20,0,1
15,21,0,-1
15,22,0,0
15,23,0,0
15,24,1,-1
15,25,-1,1
15,26,1,0
15,27,-1,0
15,28,0,1
15,29,2,1
15,30,0,0
15,31,2,2
16,0,-1,-1
16,1,-1,-2
16,2,0,0
16,3,-2,-2
16,4,0,0
16,5,1,0
16,6,-2,-2
16,7,1,0
16,8,1,1
16,9,-1,-2
16,10,0,0
16,11,2,2
16,12,0,0
16,13,1,0
16,14,2,2
16,15,-1,4
16,16,-1,-2
16,17,-1,0
16,18,-1,0
16,19,2,0
16,20,-1,-2
16,21,1,2
16,22,-1,0
16,23,2,2
16,24,-1,-2
16,25,-1,0
16,26,-1,0
16,27,2,0
16,28,-1,-2
16,29,1,2
16,30,-1,0
16,31,2,2
17,0,-1,-4
17,1,-2,1
17,2,0,0
17,3,0,-1
17,4,0,-2
17,5,-1,1
17,6,-1,-3
17,7,0,-1
17,8,1,0
17,9,0,1
17,10,0,0
17,11,2,3
17,12,0,-2
17,13,-1,1
17,14,1,3
17,15,2,3
17,16,-1,-2
17,17,-2,0
17,18,0,-1
17,19,-3,-1
17,20,0,1
17,21,0,-1
17,22,-1,-1
17,23,0,-1
17,24,1,0
17,25,0,0
17,26,0,1
17,27,1,-1
17,28,0,1
17,29,2,1
17,30,1,1
17,31,2,3
18,0,0,-1
18,1,-1,0
18,2,0,1
18,3,1,0
18,4,0,-1
18,5,-1,0
18,6,0,1
18,7,1,0
18,8,0,-1
18,9,-1,0
18,10,0,1
18,11,1,0
18,12,0,-1
18,13,-1,0
18,14,0,1
18,15,1,0
18,16,-2,0
18,17,0,-2
18,18,-1,0
18,19,-1,-1
18,20,0,0
18,21,0,-2
18,22,0,0
18,23,-2,-2
18,24,2,0
18,25,0,2
18,26,1,0
18,27,1,1
18,28,0,0
18,29,0,2
18,30,0,0
18,31,2,2
19,0,-1,-2
19,1,-1,0
19,2,-1,-1
19,3,0,-2
19,4,0,1
19,5,0,0
19,6,1,0
19,7,-1,0
19,8,-1,0
19,9,1,0
19,10,-1,-1
19,11,0,0
19,12,2,1
19,13,0,0
19,14,1,2
19,15,1,2
19,16,0,0
19,17,0,0
19,18,0,0
19,19,0,0
19,20,0,0
19,21,0,0
19,22,0,0
19,23,0,0
19,24,0,0
19,25,0,0
19,26,0,0
19,27,0,0
19,28,0,0
19,29,0,0
19,30,0,0
19,31,0,0
20,0,-3,-1
20,1,1,-1
20,2,-1,0
20,3,-1,-1
20,4,-1,0
20,5,1,0
20,6,-3,-2
20,7,1,-2
20,8,1,1
20,9,1,1
20,10,-1,0
20,11,3,1
20,12,-1,0
20,13,1,0
20,14,1,2
20,15,1,2
20,16,0,-1
20,17,-2,-1
20,18,0,1
20,19,1,-1
20,20,0,-1
20,21,0,1
20,22,0,1
20,23,1,1
20,24,0,-1
20,25,-2,-1
20,26,0,1
20,27,1,-1
20,28,0,-1
20,29,0,1
20,30,0,1
20,31,1,1
21,0,0,-1
21,1,-1,-1
21,2,-1,-1
21,3,0,-1
21,4,-1,0
21,5,1,0
21,6,-1,0
21,7,0,0
21,8,0,1
21,9,-1,-1
21,10,1,1
21,11,0,-1
21,12,1,0
21,13,1,2
21,14,1,0
21,15,0,2
21,16,-1,-3
21,17,-2,-1
21,18,-2,0
21,19,1,0
21,20,-1,-1
21,21,1,-2
21,22,-2,1
21,23,1,-1
21,24,-1,1
21,25,0,-3
21,26,0,2
21,27,3,0
21,28,-1,-1
21,29,1,2
21,30,0,1
21,31,3,5
22,0,-1,-1
22,1,-1,0
22,2,1,0
22,3,-2,0
22,4,-1,0
22,5,-1,-1
22,6,1,0
22,7,-1,-2
22,8,-1,1
22,9,1,0
22,10,1,0
22,11,2,0
22,12,-1,0
22,13,1,1
22,14,1,0
22,15,1,2
22,16,0,-1
22,17,-1,0
22,18,0,0
22,19,-1,-1
22,20,0,1
22,21,1,0
22,22,0,0
22,23,1,1
22,24,0,-1
22,25,-1,0
22,26,0,0
22,27,-1,-1
22,28,0,1
22,29,1,0
22,30,0,0
22,31,1,1
23,0,-1,0
23,1,0,0
23,2,0,-1
23,3,0,0
23,4,0,0
23,5,0,0
23,6,-1,-1
23,7,0,0
23,8,1,0
23,9,0,0
23,10,0,1
23,11,0,0
23,12,0,0
23,13,0,0
23,14,1,1
23,15,0,0
23,16,0,0
23,17,-1,-1
23,18,0,0
23,19,0,0
23,20,0,0
23,21,-1,0
23,22,0,0
23,23,0,-1
23,24,0,0
23,25,1,1
23,26,0,0
23,27,0,0
23,28,0,0
23,29,1,0
23,30,0,0
23,31,0,1
24,0,-1,-2
24,1,-1,0
24,2,0,0
24,3,1,0
24,4,-2,-1
24,5,-1,-1
24,6,0,1
24,7,1,-1
24,8,-1,0
24,9,-1,0
24,10,2,2
24,11,1,0
24,12,0,-1
24,13,-1,1
24,14,2,1
24,15,1,1
24,16,-1,-2
24,17,0,-1
24,18,-1,-2
24,19,0,1
24,20,0,-1
24,21,0,1
24,22,-1,-1
24,23,1,1
24,24,-1,0
24,25,0,-1
24,26,1,0
24,27,-2,1
24,28,2,-1
24,29,0,1
24,30,1,-1
24,31,1,5
25,0,0,-2
25,1,-1,0
25,2,-1,0
25,3,1,0
25,4,-1,-1
25,5,-1,-1
25,6,-1,1
25,7,1,-1
25,8,0,0
25,9,-1,0
25,10,1,2
25,11,1,0
25,12,1,-1
25,13,-1,1
25,14,1,1
25,15,1,1
25,16,-1,-3
25,17,-1,1
25,18,0,0
25,19,1,-2
25,20,-3,1
25,21,1,0
25,22,2,0
25,23,-1,-1
25,24,-1,1
25,25,1,-1
25,26,0,0
25,27,-1,0
25,28,1,1
25,29,-1,0
25,30,2,0
25,31,1,3
26,0,-1,-2
26,1,-1,1
26,2,0,-2
26,3,-2,1
26,4,0,-1
26,5,-1,0
26,6,-1,-2
26,7,-1,-1
26,8,1,0
26,9,1,1
26,10,0,0
26,11,2,1
26,12,0,-1
26,13,1,2
26,14,1,0
26,15,1,3
26,16,-2,-2
26,17,0,-1
26,18,-1,0
26,19,-3,-2
26,20,1,0
26,21,-1,-1
26,22,0,0
26,23,-1,-4
26,24,2,2
26,25,0,1
26,26,1,0
26,27,3,2
26,28,-1,0
26,29,1,1
26,30,0,0
26,31,1,4
27,0,0,-1
27,1,0,0
27,2,-1,-1
27,3,0,0
27,4,-1,0
27,5,0,-1
27,6,-1,0
27,7,0,-1
27,8,0,1
27,9,0,0
27,10,1,1
27,11,0,0
27,12,1,0
27,13,0,1
27,14,1,0
27,15,0,1
27,16,-3,-2
27,17,-1,-3
27,18,-2,1
27,19,1,-3
27,20,0,-1
27,21,0,1
27,22,0,1
27,23,1,0
27,24,-1,-2
27,25,1,1
27,26,-2,1
27,27,3,-3
27,28,0,1
27,29,0,1
27,30,0,1
27,31,3,6
28,0,-2,0
28,1,0,-1
28,2,-2,0
28,3,0,-1
28,4,0,0
28,5,-1,-1
28,6,1,0
28,7,-1,-1
28,8,2,0
28,9,0,1
28,10,2,0
28,11,0,1
28,12,0,0
28,13,1,1
28,14,-1,0
28,15,1,1
28,16,-1,-1
28,17,0,0
28,18,0,0
28,19,-1,-1
28,20,-1,0
28,21,0,0
28,22,0,-1
28,23,0,-1
28,24,-1,1
28,25,0,0
28,26,2,0
28,27,1,1
28,28,-1,0
28,29,0,0
28,30,2,1
28,31,0,1
29,0,-1,-2
29,1,-1,0
29,2,-1,-1
29,3,-2,-1
29,4,1,1
29,5,-1,-1
29,6,1,1
29,7,-1,-1
29,8,-1,0
29,9,1,0
29,10,-1,-1
29,11,2,-1
29,12,1,1
29,13,1,1
29,14,1,1
29,15,1,3
29,16,-1,0
29,17,0,0
29,18,0,-1
29,19,0,0
29,20,1,0
29,21,0,0
29,22,0,1
29,23,0,0
29,24,-1,0
29,25,0,0
29,26,0,-1
29,27,0,0
29,28,1,0
29,29,0,0
29,30,0,1
29,31,0,0
30,0,0,-1
30,1,-2,-1
30,2,0,0
30,3,1,-1
30,4,-1,0
30,5,-1,1
30,6,0,-1
30,7,-1,-2
30,8,0,1
30,9,2,1
30,10,0,0
30,11,-1,1
30,12,1,0
30,13,1,-1
30,14,0,1
30,15,1,2
30,16,-1,-2
30,17,-1,0
30,18,0,-1
30,19,-1,-1
30,20,0,-1
30,21,1,2
30,22,-2,-3
30,23,0,1
30,24,1,0
30,25,-1,0
30,26,0,-1
30,27,1,1
30,28,0,-1
30,29,1,2
30,30,2,1
30,31,0,3
31,0,-2,-2
31,1,-1,1
31,2,1,-1
31,3,1,-1
31,4,-2,0
31,5,1,0
31,6,1,1
31,7,-1,-2
31,8,-2,2
31,9,1,-1
31,10,1,-1
31,11,-1,1
31,12,2,0
31,13,-1,0
31,14,1,1
31,15,1,2
31,16,-2,-1
31,17,1,-1
31,18,-1,0
31,19,-1,-1
31,20,0,1
31,21,1,-1
31,22,-1,0
31,23,3,3
31,24,-2,-1
31,25,1,-1
31,26,-1,0
31,27,-1,-1
31,28,0,1
31,29,1,-1
31,30,-1,0
31,31,3,3
32,0,-3,0
32,1,0,-3
32,2,-2,-1
32,3,1,0
32,4,1,0
32,5,-2,-2
32,6,1,1
32,7,-1,-1
32,8,1,0
