input_n,adc_data,bb_i,bb_q,bb_valid_i
36,33,0,0,1
37,186,0,0,1
38,186,0,0,1
39,33,0,0,1
40,128,0,0,1
41,223,0,0,1
42,70,0,0,1
43,70,0,0,1
44,223,0,0,1
45,128,0,0,1
46,33,0,0,1
47,186,0,0,1
48,186,0,0,1
49,33,0,0,1
50,128,0,0,1
51,223,0,0,1
52,70,0,0,1
53,70,0,0,1
54,223,0,0,1
55,128,0,0,1
56,33,0,0,1
57,186,0,0,1
58,186,0,0,1
59,33,0,0,1
60,128,0,0,1
61,223,0,0,1
62,70,0,0,1
63,70,0,0,1
64,223,0,0,1
65,128,0,0,1
66,33,0,0,1
67,186,0,0,1
68,186,-1,0,1
69,33,-1,0,1
70,128,-1,0,1
71,223,-1,0,1
72,70,0,0,1
73,70,0,0,1
74,223,0,0,1
75,128,0,0,1
76,33,6,6,1
77,186,6,6,1
78,186,6,6,1
79,33,6,6,1
80,128,13,13,1
81,223,13,13,1
82,70,13,13,1
83,70,13,13,1
84,223,11,-3,1
85,128,11,-3,1
86,33,11,-3,1
87,186,11,-3,1
88,186,12,5,1
89,33,12,5,1
90,128,12,5,1
91,223,12,5,1
92,70,9,33,1
93,70,9,33,1
94,223,9,33,1
95,128,9,33,1
96,33,19,-38,1
97,186,19,-38,1
98,186,19,-38,1
99,33,19,-38,1
100,128,4,22,1
101,223,4,22,1
102,70,4,22,1
103,70,4,22,1
104,223,4,74,1
105,128,4,74,1
106,33,4,74,1
107,186,4,74,1
108,186,51,-137,1
109,33,51,-137,1
110,128,51,-137,1
111,223,51,-137,1
112,70,-42,111,1
113,70,-42,111,1
114,223,-42,111,1
115,128,-42,111,1
116,33,21,103,1
117,186,21,103,1
118,186,21,103,1
119,33,21,103,1
120,128,103,-340,1
121,223,103,-340,1
122,70,103,-340,1
123,70,103,-340,1
124,223,-146,403,1
125,128,-146,403,1
126,33,-146,403,1
127,186,-146,403,1
128,186,74,-39,1
129,33,74,-39,1
130,128,74,-39,1
131,223,74,-39,1
132,70,400,-496,1
133,70,400,-496,1
134,223,400,-496,1
135,128,400,-496,1
136,33,2992,4917,1
137,186,2992,4917,1
138,186,2992,4917,1
139,33,2992,4917,1
140,128,11193,10429,1
141,223,11193,10429,1
142,70,11193,10429,1
143,70,11193,10429,1
144,223,17819,9937,1
145,128,17819,9937,1
146,33,17819,9937,1
147,186,17819,9937,1
148,186,17301,9416,1
149,33,17301,9416,1
150,128,17301,9416,1
151,223,17301,9416,1
152,70,16596,10224,1
153,70,16596,10224,1
154,223,16596,10224,1
155,128,16596,10224,1
156,33,17535,9750,1
157,186,17535,9750,1
158,186,17535,9750,1
159,33,17535,9750,1
160,128,17038,9758,1
161,223,17038,9758,1
162,70,17038,9758,1
163,70,17038,9758,1
164,223,16977,10012,1
165,128,16977,10012,1
166,33,16977,10012,1
167,186,16977,10012,1
168,186,17303,9784,1
169,33,17303,9784,1
170,128,17303,9784,1
171,223,17303,9784,1
172,70,17047,9846,1
173,70,17047,9846,1
174,223,17047,9846,1
175,128,17047,9846,1
176,33,17119,9885,1
177,186,17119,9885,1
178,186,17119,9885,1
179,33,17119,9885,1
180,128,17164,9849,1
181,223,17164,9849,1
182,70,17164,9849,1
183,70,17164,9849,1
184,223,17096,9861,1
185,128,17096,9861,1
186,33,17096,9861,1
187,186,17096,9861,1
188,186,17130,9862,1
189,33,17130,9862,1
190,128,17130,9862,1
191,223,17130,9862,1
192,70,17129,9859,1
193,70,17129,9859,1
194,223,17129,9859,1
195,128,17129,9859,1
196,33,17141,9837,1
197,186,17141,9837,1
198,186,17141,9837,1
199,33,17141,9837,1
200,128,17108,9884,1
201,223,17108,9884,1
202,70,17108,9884,1
203,70,17108,9884,1
204,223,17140,9868,1
205,128,17140,9868,1
206,33,17140,9868,1
207,186,17140,9868,1
208,186,17142,9858,1
209,33,17142,9858,1
210,128,17142,9858,1
211,223,17142,9858,1
212,70,17128,9873,1
213,70,17128,9873,1
214,223,17128,9873,1
215,128,17128,9873,1
216,33,17162,9843,1
217,186,17162,9843,1
218,186,17162,9843,1
219,33,17162,9843,1
220,128,17117,9884,1
221,223,17117,9884,1
222,70,17117,9884,1
223,70,17117,9884,1
224,223,17141,9868,1
225,128,17141,9868,1
226,33,17141,9868,1
227,186,17141,9868,1
228,186,17142,9858,1
229,33,17142,9858,1
230,128,17142,9858,1
231,223,17142,9858,1
232,70,17128,9873,1
233,70,17128,9873,1
234,223,17128,9873,1
235,128,17128,9873,1
236,33,17162,9843,1
237,186,17162,9843,1
238,186,17162,9843,1
239,33,17162,9843,1
240,128,17117,9884,1
241,223,17117,9884,1
242,70,17117,9884,1
243,70,17117,9884,1
244,223,17141,9868,1
245,128,17141,9868,1
246,33,17141,9868,1
247,186,17141,9868,1
248,186,17142,9858,1
249,33,17142,9858,1
250,128,17142,9858,1
251,223,17142,9858,1
252,70,17128,9873,1
253,70,17128,9873,1
254,223,17128,9873,1
255,128,17128,9873,1
256,33,17162,9843,1
257,186,17162,9843,1
258,186,17162,9843,1
259,33,17162,9843,1
260,128,17117,9884,1
261,223,17117,9884,1
262,70,17117,9884,1
263,70,17117,9884,1
264,223,17141,9868,1
265,128,17141,9868,1
266,33,17141,9868,1
267,186,17141,9868,1
268,186,17142,9858,1
269,33,17142,9858,1
270,128,17142,9858,1
271,223,17142,9858,1
272,70,17128,9873,1
273,70,17128,9873,1
274,223,17128,9873,1
275,128,17128,9873,1
276,33,17162,9843,1
277,186,17162,9843,1
278,186,17162,9843,1
279,33,17162,9843,1
280,128,17117,9884,1
281,223,17117,9884,1
282,70,17117,9884,1
283,70,17117,9884,1
284,223,17141,9868,1
285,128,17141,9868,1
286,33,17141,9868,1
287,186,17141,9868,1
288,186,17142,9858,1
289,33,17142,9858,1
290,128,17142,9858,1
291,223,17142,9858,1
292,70,17128,9873,1
293,70,17128,9873,1
294,223,17128,9873,1
295,128,17128,9873,1
296,33,17162,9843,1
297,186,17162,9843,1
298,186,17162,9843,1
299,33,17162,9843,1
300,128,17117,9884,1
301,223,17117,9884,1
302,70,17117,9884,1
303,70,17117,9884,1
304,223,17141,9868,1
305,128,17141,9868,1
306,33,17141,9868,1
307,186,17141,9868,1
308,186,17142,9858,1
309,33,17142,9858,1
310,128,17142,9858,1
311,223,17142,9858,1
312,70,17128,9873,1
313,70,17128,9873,1
314,223,17128,9873,1
315,128,17128,9873,1
316,33,17162,9843,1
317,186,17162,9843,1
318,186,17162,9843,1
319,33,17162,9843,1
320,128,17117,9884,1
321,223,17117,9884,1
322,70,17117,9884,1
323,70,17117,9884,1
324,223,17141,9868,1
325,128,17141,9868,1
326,33,17141,9868,1
327,186,17141,9868,1
328,186,17142,9858,1
329,33,17142,9858,1
330,128,17142,9858,1
331,223,17142,9858,1
332,70,17128,9873,1
333,70,17128,9873,1
334,223,17128,9873,1
335,128,17128,9873,1
336,33,17162,9843,1
337,186,17162,9843,1
338,186,17162,9843,1
339,33,17162,9843,1
340,128,17117,9884,1
341,223,17117,9884,1
342,70,17117,9884,1
343,70,17117,9884,1
344,223,17141,9868,1
345,128,17141,9868,1
346,33,17141,9868,1
347,186,17141,9868,1
348,186,17142,9858,1
349,33,17142,9858,1
350,128,17142,9858,1
351,223,17142,9858,1
352,70,17128,9873,1
353,70,17128,9873,1
354,223,17128,9873,1
355,128,17128,9873,1
356,33,17162,9843,1
357,186,17162,9843,1
358,186,17162,9843,1
359,33,17162,9843,1
360,128,17117,9884,1
361,223,17117,9884,1
362,70,17117,9884,1
363,70,17117,9884,1
364,223,17141,9868,1
365,128,17141,9868,1
366,33,17141,9868,1
367,186,17141,9868,1
368,186,17142,9858,1
369,33,17142,9858,1
370,128,17142,9858,1
371,223,17142,9858,1
372,70,17128,9873,1
373,70,17128,9873,1
374,223,17128,9873,1
375,128,17128,9873,1
376,33,17162,9843,1
377,186,17162,9843,1
378,186,17162,9843,1
379,33,17162,9843,1
380,128,17117,9884,1
381,223,17117,9884,1
382,70,17117,9884,1
383,70,17117,9884,1
384,223,17141,9868,1
385,128,17141,9868,1
386,33,17141,9868,1
387,186,17141,9868,1
388,186,17142,9858,1
389,33,17142,9858,1
390,128,17142,9858,1
391,223,17142,9858,1
392,70,17128,9873,1
393,70,17128,9873,1
394,223,17128,9873,1
395,128,17128,9873,1
396,33,17162,9843,1
397,186,17162,9843,1
398,186,17162,9843,1
399,33,17162,9843,1
400,128,17117,9884,1
401,223,17117,9884,1
402,70,17117,9884,1
403,70,17117,9884,1
404,223,17141,9868,1
405,128,17141,9868,1
406,33,17141,9868,1
407,186,17141,9868,1
408,186,17142,9858,1
409,33,17142,9858,1
410,128,17142,9858,1
411,223,17142,9858,1
412,70,17128,9873,1
413,70,17128,9873,1
414,223,17128,9873,1
415,128,17128,9873,1
416,33,17162,9843,1
417,186,17162,9843,1
418,186,17162,9843,1
419,33,17162,9843,1
420,128,17117,9884,1
421,223,17117,9884,1
422,70,17117,9884,1
423,70,17117,9884,1
424,223,17141,9868,1
425,128,17141,9868,1
426,33,17141,9868,1
427,186,17141,9868,1
428,186,17142,9858,1
429,33,17142,9858,1
430,128,17142,9858,1
431,223,17142,9858,1
432,70,17128,9873,1
433,70,17128,9873,1
434,223,17128,9873,1
435,128,17128,9873,1
436,33,17162,9843,1
437,186,17162,9843,1
438,186,17162,9843,1
439,33,17162,9843,1
440,128,17117,9884,1
441,223,17117,9884,1
442,70,17117,9884,1
443,70,17117,9884,1
444,223,17141,9868,1
445,128,17141,9868,1
446,33,17141,9868,1
447,186,17141,9868,1
448,186,17142,9858,1
449,33,17142,9858,1
450,128,17142,9858,1
451,223,17142,9858,1
452,70,17128,9873,1
453,70,17128,9873,1
454,223,17128,9873,1
455,128,17128,9873,1
456,33,17162,9843,1
457,186,17162,9843,1
458,186,17162,9843,1
459,33,17162,9843,1
460,128,17117,9884,1
461,223,17117,9884,1
462,70,17117,9884,1
463,70,17117,9884,1
464,223,17141,9868,1
465,128,17141,9868,1
466,33,17141,9868,1
467,186,17141,9868,1
468,186,17142,9858,1
469,33,17142,9858,1
470,128,17142,9858,1
471,223,17142,9858,1
472,70,17128,9873,1
473,70,17128,9873,1
474,223,17128,9873,1
475,128,17128,9873,1
476,33,17162,9843,1
477,186,17162,9843,1
478,186,17162,9843,1
479,33,17162,9843,1
480,128,17117,9884,1
481,223,17117,9884,1
482,70,17117,9884,1
483,70,17117,9884,1
484,223,17141,9868,1
485,128,17141,9868,1
486,33,17141,9868,1
487,186,17141,9868,1
488,186,17142,9858,1
489,33,17142,9858,1
490,128,17142,9858,1
491,223,17142,9858,1
492,70,17128,9873,1
493,70,17128,9873,1
494,223,17128,9873,1
495,128,17128,9873,1
496,33,17162,9843,1
497,186,17162,9843,1
498,186,17162,9843,1
499,33,17162,9843,1
500,128,17117,9884,1
501,223,17117,9884,1
502,70,17117,9884,1
503,70,17117,9884,1
504,223,17141,9868,1
505,128,17141,9868,1
506,33,17141,9868,1
507,186,17141,9868,1
508,186,17142,9858,1
509,33,17142,9858,1
510,128,17142,9858,1
511,223,17142,9858,1
512,70,17128,9873,1
513,70,17128,9873,1
514,223,17128,9873,1
515,128,17128,9873,1
516,33,17162,9843,1
517,186,17162,9843,1
518,186,17162,9843,1
519,33,17162,9843,1
520,128,17117,9884,1
521,223,17117,9884,1
522,70,17117,9884,1
523,70,17117,9884,1
524,223,17141,9868,1
525,128,17141,9868,1
526,33,17141,9868,1
527,186,17141,9868,1
528,186,17142,9858,1
529,33,17142,9858,1
530,128,17142,9858,1
531,223,17142,9858,1
532,70,17128,9873,1
533,70,17128,9873,1
534,223,17128,9873,1
535,128,17128,9873,1
536,33,17162,9843,1
537,186,17162,9843,1
538,186,17162,9843,1
539,33,17162,9843,1
540,128,17117,9884,1
541,223,17117,9884,1
542,70,17117,9884,1
543,70,17117,9884,1
544,223,17141,9868,1
545,128,17141,9868,1
546,33,17141,9868,1
547,186,17141,9868,1
548,186,17142,9858,1
549,33,17142,9858,1
550,128,17142,9858,1
551,223,17142,9858,1
552,70,17128,9873,1
553,70,17128,9873,1
554,223,17128,9873,1
555,128,17128,9873,1
556,33,17162,9843,1
557,186,17162,9843,1
558,186,17162,9843,1
559,33,17162,9843,1
560,128,17117,9884,1
561,223,17117,9884,1
562,70,17117,9884,1
563,70,17117,9884,1
564,223,17141,9868,1
565,128,17141,9868,1
566,33,17141,9868,1
567,186,17141,9868,1
568,186,17142,9858,1
569,33,17142,9858,1
570,128,17142,9858,1
571,223,17142,9858,1
572,70,17128,9873,1
573,70,17128,9873,1
574,223,17128,9873,1
575,128,17128,9873,1
576,33,17162,9843,1
577,186,17162,9843,1
578,186,17162,9843,1
579,33,17162,9843,1
580,128,17117,9884,1
581,223,17117,9884,1
582,70,17117,9884,1
583,70,17117,9884,1
584,223,17141,9868,1
585,128,17141,9868,1
586,33,17141,9868,1
587,186,17141,9868,1
588,186,17142,9858,1
589,33,17142,9858,1
590,128,17142,9858,1
591,223,17142,9858,1
592,70,17128,9873,1
593,70,17128,9873,1
594,223,17128,9873,1
595,128,17128,9873,1
596,33,17162,9843,1
597,186,17162,9843,1
598,186,17162,9843,1
599,33,17162,9843,1
600,128,17117,9884,1
601,223,17117,9884,1
602,70,17117,9884,1
603,70,17117,9884,1
604,223,17141,9868,1
605,128,17141,9868,1
606,33,17141,9868,1
607,186,17141,9868,1
608,186,17142,9858,1
609,33,17142,9858,1
610,128,17142,9858,1
611,223,17142,9858,1
612,70,17128,9873,1
613,70,17128,9873,1
614,223,17128,9873,1
615,128,17128,9873,1
616,33,17162,9843,1
617,186,17162,9843,1
618,186,17162,9843,1
619,33,17162,9843,1
620,128,17117,9884,1
621,223,17117,9884,1
622,70,17117,9884,1
623,70,17117,9884,1
624,223,17141,9868,1
625,128,17141,9868,1
626,33,17141,9868,1
627,186,17141,9868,1
628,186,17142,9858,1
629,33,17142,9858,1
630,128,17142,9858,1
631,223,17142,9858,1
632,70,17128,9873,1
633,70,17128,9873,1
634,223,17128,9873,1
635,128,17128,9873,1
636,33,17162,9843,1
637,186,17162,9843,1
638,186,17162,9843,1
639,33,17162,9843,1
640,128,17117,9884,1
641,223,17117,9884,1
642,70,17117,9884,1
643,70,17117,9884,1
644,223,17141,9868,1
645,128,17141,9868,1
646,33,17141,9868,1
647,186,17141,9868,1
648,186,17142,9858,1
649,33,17142,9858,1
650,128,17142,9858,1
651,223,17142,9858,1
652,70,17128,9873,1
653,70,17128,9873,1
654,223,17128,9873,1
655,128,17128,9873,1
656,33,17162,9843,1
657,186,17162,9843,1
658,186,17162,9843,1
659,33,17162,9843,1
660,128,17117,9884,1
661,223,17117,9884,1
662,70,17117,9884,1
663,70,17117,9884,1
664,223,17141,9868,1
665,128,17141,9868,1
666,33,17141,9868,1
667,186,17141,9868,1
668,186,17142,9858,1
669,33,17142,9858,1
670,128,17142,9858,1
671,223,17142,9858,1
672,70,17128,9873,1
673,70,17128,9873,1
674,223,17128,9873,1
675,128,17128,9873,1
676,33,17162,9843,1
677,186,17162,9843,1
678,186,17162,9843,1
679,33,17162,9843,1
680,128,17117,9884,1
681,223,17117,9884,1
682,70,17117,9884,1
683,70,17117,9884,1
684,223,17141,9868,1
685,128,17141,9868,1
686,33,17141,9868,1
687,186,17141,9868,1
688,186,17142,9858,1
689,33,17142,9858,1
690,128,17142,9858,1
691,223,17142,9858,1
692,70,17128,9873,1
693,70,17128,9873,1
694,223,17128,9873,1
695,128,17128,9873,1
696,33,17162,9843,1
697,186,17162,9843,1
698,186,17162,9843,1
699,33,17162,9843,1
700,128,17117,9884,1
701,223,17117,9884,1
702,70,17117,9884,1
703,70,17117,9884,1
704,223,17141,9868,1
705,128,17141,9868,1
706,33,17141,9868,1
707,186,17141,9868,1
708,186,17142,9858,1
709,33,17142,9858,1
710,128,17142,9858,1
711,223,17142,9858,1
712,70,17128,9873,1
713,70,17128,9873,1
714,223,17128,9873,1
715,128,17128,9873,1
716,33,17162,9843,1
717,186,17162,9843,1
718,186,17162,9843,1
719,33,17162,9843,1
720,128,17117,9884,1
721,223,17117,9884,1
722,70,17117,9884,1
723,70,17117,9884,1
724,223,17141,9868,1
725,128,17141,9868,1
726,33,17141,9868,1
727,186,17141,9868,1
728,186,17142,9858,1
729,33,17142,9858,1
730,128,17142,9858,1
731,223,17142,9858,1
732,70,17128,9873,1
733,70,17128,9873,1
734,223,17128,9873,1
735,128,17128,9873,1
736,33,17162,9843,1
737,186,17162,9843,1
738,186,17162,9843,1
739,33,17162,9843,1
740,128,17117,9884,1
741,223,17117,9884,1
742,70,17117,9884,1
743,70,17117,9884,1
744,223,17141,9868,1
745,128,17141,9868,1
746,33,17141,9868,1
747,186,17141,9868,1
748,186,17142,9858,1
749,33,17142,9858,1
750,128,17142,9858,1
751,223,17142,9858,1
752,70,17128,9873,1
753,70,17128,9873,1
754,223,17128,9873,1
755,128,17128,9873,1
756,33,17162,9843,1
757,186,17162,9843,1
758,186,17162,9843,1
759,33,17162,9843,1
760,128,17117,9884,1
761,223,17117,9884,1
762,70,17117,9884,1
763,70,17117,9884,1
764,223,17141,9868,1
765,128,17141,9868,1
766,33,17141,9868,1
767,186,17141,9868,1
768,186,17142,9858,1
769,33,17142,9858,1
770,128,17142,9858,1
771,223,17142,9858,1
772,70,17128,9873,1
773,70,17128,9873,1
774,223,17128,9873,1
775,128,17128,9873,1
776,33,17162,9843,1
777,186,17162,9843,1
778,186,17162,9843,1
779,33,17162,9843,1
780,128,17117,9884,1
781,223,17117,9884,1
782,70,17117,9884,1
783,70,17117,9884,1
784,223,17141,9868,1
785,128,17141,9868,1
786,33,17141,9868,1
787,186,17141,9868,1
788,186,17142,9858,1
789,33,17142,9858,1
790,128,17142,9858,1
791,223,17142,9858,1
792,70,17128,9873,1
793,70,17128,9873,1
794,223,17128,9873,1
795,128,17128,9873,1
796,33,17162,9843,1
797,186,17162,9843,1
798,186,17162,9843,1
799,33,17162,9843,1
800,128,17117,9884,1
801,223,17117,9884,1
802,70,17117,9884,1
803,70,17117,9884,1
804,223,17141,9868,1
805,128,17141,9868,1
806,33,17141,9868,1
807,186,17141,9868,1
808,186,17142,9858,1
809,33,17142,9858,1
810,128,17142,9858,1
811,223,17142,9858,1
812,70,17128,9873,1
813,70,17128,9873,1
814,223,17128,9873,1
815,128,17128,9873,1
816,33,17162,9843,1
817,186,17162,9843,1
818,186,17162,9843,1
819,33,17162,9843,1
820,128,17117,9884,1
821,223,17117,9884,1
822,70,17117,9884,1
823,70,17117,9884,1
824,223,17141,9868,1
825,128,17141,9868,1
826,33,17141,9868,1
827,186,17141,9868,1
828,186,17142,9858,1
829,33,17142,9858,1
830,128,17142,9858,1
831,223,17142,9858,1
832,70,17128,9873,1
833,70,17128,9873,1
834,223,17128,9873,1
835,128,17128,9873,1
836,33,17162,9843,1
837,186,17162,9843,1
838,186,17162,9843,1
839,33,17162,9843,1
840,128,17117,9884,1
841,223,17117,9884,1
842,70,17117,9884,1
843,70,17117,9884,1
844,223,17141,9868,1
845,128,17141,9868,1
846,33,17141,9868,1
847,186,17141,9868,1
848,186,17142,9858,1
849,33,17142,9858,1
850,128,17142,9858,1
851,223,17142,9858,1
852,70,17128,9873,1
853,70,17128,9873,1
854,223,17128,9873,1
855,128,17128,9873,1
856,33,17162,9843,1
857,186,17162,9843,1
858,186,17162,9843,1
859,33,17162,9843,1
860,128,17117,9884,1
861,223,17117,9884,1
862,70,17117,9884,1
863,70,17117,9884,1
864,223,17141,9868,1
865,128,17141,9868,1
866,33,17141,9868,1
867,186,17141,9868,1
868,186,17142,9858,1
869,33,17142,9858,1
870,128,17142,9858,1
871,223,17142,9858,1
872,70,17128,9873,1
873,70,17128,9873,1
874,223,17128,9873,1
875,128,17128,9873,1
876,33,17162,9843,1
877,186,17162,9843,1
878,186,17162,9843,1
879,33,17162,9843,1
880,128,17117,9884,1
881,223,17117,9884,1
882,70,17117,9884,1
883,70,17117,9884,1
884,223,17141,9868,1
885,128,17141,9868,1
886,33,17141,9868,1
887,186,17141,9868,1
888,186,17142,9858,1
889,33,17142,9858,1
890,128,17142,9858,1
891,223,17142,9858,1
892,70,17128,9873,1
893,70,17128,9873,1
894,223,17128,9873,1
895,128,17128,9873,1
896,33,17162,9843,1
897,186,17162,9843,1
898,186,17162,9843,1
899,33,17162,9843,1
900,128,17117,9884,1
901,223,17117,9884,1
902,70,17117,9884,1
903,70,17117,9884,1
904,223,17141,9868,1
905,128,17141,9868,1
906,33,17141,9868,1
907,186,17141,9868,1
908,186,17142,9858,1
909,33,17142,9858,1
910,128,17142,9858,1
911,223,17142,9858,1
912,70,17128,9873,1
913,70,17128,9873,1
914,223,17128,9873,1
915,128,17128,9873,1
916,33,17162,9843,1
917,186,17162,9843,1
918,186,17162,9843,1
919,33,17162,9843,1
920,128,17117,9884,1
921,223,17117,9884,1
922,70,17117,9884,1
923,70,17117,9884,1
924,223,17141,9868,1
925,128,17141,9868,1
926,33,17141,9868,1
927,186,17141,9868,1
928,186,17142,9858,1
929,33,17142,9858,1
930,128,17142,9858,1
931,223,17142,9858,1
932,70,17128,9873,1
933,70,17128,9873,1
934,223,17128,9873,1
935,128,17128,9873,1
936,33,17162,9843,1
937,186,17162,9843,1
938,186,17162,9843,1
939,33,17162,9843,1
940,128,17117,9884,1
941,223,17117,9884,1
942,70,17117,9884,1
943,70,17117,9884,1
944,223,17141,9868,1
945,128,17141,9868,1
946,33,17141,9868,1
947,186,17141,9868,1
948,186,17142,9858,1
949,33,17142,9858,1
950,128,17142,9858,1
951,223,17142,9858,1
952,70,17128,9873,1
953,70,17128,9873,1
954,223,17128,9873,1
955,128,17128,9873,1
956,33,17162,9843,1
957,186,17162,9843,1
958,186,17162,9843,1
959,33,17162,9843,1
960,128,17117,9884,1
961,223,17117,9884,1
962,70,17117,9884,1
963,70,17117,9884,1
964,223,17141,9868,1
965,128,17141,9868,1
966,33,17141,9868,1
967,186,17141,9868,1
968,186,17142,9858,1
969,33,17142,9858,1
970,128,17142,9858,1
971,223,17142,9858,1
972,70,17128,9873,1
973,70,17128,9873,1
974,223,17128,9873,1
975,128,17128,9873,1
976,33,17162,9843,1
977,186,17162,9843,1
978,186,17162,9843,1
979,33,17162,9843,1
980,128,17117,9884,1
981,223,17117,9884,1
982,70,17117,9884,1
983,70,17117,9884,1
984,223,17141,9868,1
985,128,17141,9868,1
986,33,17141,9868,1
987,186,17141,9868,1
988,186,17142,9858,1
989,33,17142,9858,1
990,128,17142,9858,1
991,223,17142,9858,1
992,70,17128,9873,1
993,70,17128,9873,1
994,223,17128,9873,1
995,128,17128,9873,1
996,33,17162,9843,1
997,186,17162,9843,1
998,186,17162,9843,1
999,33,17162,9843,1
1000,128,17117,9884,1
1001,223,17117,9884,1
1002,70,17117,9884,1
1003,70,17117,9884,1
1004,223,17141,9868,1
1005,128,17141,9868,1
1006,33,17141,9868,1
1007,186,17141,9868,1
1008,186,17142,9858,1
1009,33,17142,9858,1
1010,128,17142,9858,1
1011,223,17142,9858,1
1012,70,17128,9873,1
1013,70,17128,9873,1
1014,223,17128,9873,1
1015,128,17128,9873,1
1016,33,17162,9843,1
1017,186,17162,9843,1
1018,186,17162,9843,1
1019,33,17162,9843,1
1020,128,17117,9884,1
1021,223,17117,9884,1
1022,70,17117,9884,1
1023,70,17117,9884,1
1024,223,17141,9868,1
1025,128,17141,9868,1
1026,33,17141,9868,1
1027,186,17141,9868,1
1028,186,17142,9858,1
1029,33,17142,9858,1
1030,128,17142,9858,1
1031,223,17142,9858,1
1032,70,17128,9873,1
1033,70,17128,9873,1
1034,223,17128,9873,1
1035,128,17128,9873,1
1036,33,17162,9843,1
1037,186,17162,9843,1
1038,186,17162,9843,1
1039,33,17162,9843,1
1040,128,17117,9884,1
1041,223,17117,9884,1
1042,70,17117,9884,1
1043,70,17117,9884,1
1044,223,17141,9868,1
1045,128,17141,9868,1
1046,33,17141,9868,1
1047,186,17141,9868,1
1048,186,17142,9858,1
1049,33,17142,9858,1
1050,128,17142,9858,1
1051,223,17142,9858,1
1052,70,17128,9873,1
1053,70,17128,9873,1
1054,223,17128,9873,1
1055,128,17128,9873,1
1056,33,17162,9843,1
1057,186,17162,9843,1
1058,186,17162,9843,1
1059,33,17162,9843,1
1060,128,17117,9884,1
1061,223,17117,9884,1
1062,70,17117,9884,1
1063,70,17117,9884,1
1064,223,17141,9868,1
1065,128,17141,9868,1
1066,33,17141,9868,1
1067,186,17141,9868,1
1068,186,17142,9858,1
1069,33,17142,9858,1
1070,128,17142,9858,1
1071,223,17142,9858,1
1072,70,17128,9873,1
1073,70,17128,9873,1
1074,223,17128,9873,1
1075,128,17128,9873,1
1076,33,17162,9843,1
1077,186,17162,9843,1
1078,186,17162,9843,1
